words,x,y
yale,35.38406753540039,-27.025484085083008
law,21.83342170715332,17.36009407043457
school,31.698915481567383,-25.290374755859375
media,33.72748947143555,10.913349151611328
freedom,-34.18973159790039,57.37704086303711
information,52.64775466918945,-18.35308265686035
access,16.146657943725586,-26.820415496826172
clinic,12.624116897583008,-41.000709533691406
filed,31.154584884643555,-13.495454788208008
motion,-28.153650283813477,-20.222320556640625
asking,13.128267288208008,31.374725341796875
opinions,18.148252487182617,52.32188415527344
containing,-13.037694931030273,-31.407197952270508
novel,54.549312591552734,-26.025619506835938
significant,14.230782508850098,45.25605773925781
passage,35.13302993774414,42.48020935058594
usa,40.014183044433594,-4.946934700012207
act,-4.7935590744018555,38.9533805847168
june,29.603517532348633,-56.986122131347656
mass,20.947134017944336,-55.535457611083984
phone,-3.889724016189575,-59.52655792236328
records,50.21049880981445,-20.66381072998047
required,19.606733322143555,15.244223594665527
public,26.680389404296875,-19.745248794555664
unfortunately,22.8764591217041,6.812110424041748
maintains,4.145883560180664,20.434391021728516
obligation,-21.437257766723633,42.965370178222656
apply,17.214412689208984,43.616905212402344
broadly,12.893689155578613,21.687524795532227
refused,22.322738647460938,-14.70000171661377
recognize,-5.557644844055176,36.76662063598633
amendment,28.82564353942871,19.26242446899414
right,-23.316349029541016,1.096886157989502
examine,16.90332794189453,45.70952224731445
interpreting,19.330965042114258,35.65334701538086
these,-3.3294496536254883,14.290654182434082
essential,-13.3187255859375,57.83051681518555
understand,-4.129040718078613,36.726356506347656
federal,31.015941619873047,-15.46475601196289
implemented,16.73752784729004,15.866747856140137
show,10.288802146911621,43.711036682128906
constitutional,22.93467140197754,15.108867645263672
personal,-2.393649101257324,54.2430419921875
enforced,20.45288848876953,15.630853652954102
courts,30.9133358001709,-15.28148365020752
properly,-2.5742850303649902,35.164886474609375
documents,49.497467041015625,-20.652557373046875
reports,45.27398681640625,-18.178064346313477
released,22.67311668395996,-11.824821472167969
following,21.215456008911133,37.03044509887695
revelations,17.38184356689453,35.84208297729492
edward,45.68739700317383,-38.25846481323242
appears,20.64518928527832,38.30890655517578
addition,28.08049964904785,-18.126989364624023
bulk,47.66533279418945,16.756732940673828
address,40.509803771972656,-18.535785675048828
range,16.139415740966797,-20.254079818725586
use,33.479373931884766,49.252559661865234
calls,-15.293971061706543,36.099693298339844
network,48.16457748413086,-14.88735294342041
techniques,13.983551979064941,55.07402420043945
efforts,4.233668804168701,58.74302673339844
compel,-15.896815299987793,15.188281059265137
technology,12.083671569824219,57.64570999145508
companies,18.242076873779297,-23.84111213684082
weaken,-12.54778003692627,28.0119571685791
source,-16.03778839111328,53.661460876464844
code,21.538570404052734,15.600708961486816
identify,-6.412522315979004,35.79785919189453
search,4.741668701171875,36.568603515625
internet,51.552589416503906,-16.055580139160156
communications,28.716293334960938,-15.888175964355469
evidence,15.379997253417969,36.82426834106445
computer,7.200959205627441,-40.188385009765625
devices,-8.968273162841797,25.977781295776367
section,33.46961212158203,35.9185676574707
controversial,8.80140209197998,34.74916458129883
authority,-21.06011390686035,39.99891662597656
scheduled,22.985925674438477,-49.66270065307617
december,29.603565216064453,-57.004295349121094
num,14.231752395629883,3.5569207668304443
financial,15.659536361694336,-28.79133415222168
fbi,32.126365661621094,-13.087682723999023
longer,-28.13922119140625,2.7412219047546387
list,27.428190231323242,41.23931121826172
included,40.15495300292969,8.748345375061035
this,-9.233442306518555,1.3663568496704102
sought,-35.06377029418945,15.355125427246094
important,14.069366455078125,44.44052505493164
fighting,47.03705978393555,6.083301067352295
gain,-14.442782402038574,44.4220085144043
similar,21.05776023864746,43.04970932006836
set,-53.47500228881836,-23.151554107666016
previously,24.91554832458496,-4.0044026374816895
opinion,19.61884307861328,53.410518646240234
addressing,20.951492309570312,30.004579544067383
data,67.80106353759766,-7.048450946807861
join,-8.853687286376953,-4.683808326721191
simply,-5.909046173095703,55.10100555419922
possible,-2.148117780685425,32.71466827392578
claimed,23.60202407836914,24.473257064819336
conduct,0.0959947407245636,35.727073669433594
without,-21.70241355895996,20.156837463378906
judicial,22.095996856689453,15.019062995910645
congress,38.68641662597656,-11.188612937927246
recognized,22.765771865844727,25.47676658630371
importance,13.083680152893066,47.40156555175781
made,-47.38466262817383,49.54520034790039
accept,-30.220237731933594,60.162689208984375
need,-12.577287673950195,38.77436447143555
extends,2.4471428394317627,20.20148468017578
foundational,14.21069622039795,42.78690719604492
it,-14.59125804901123,0.26604509353637695
clear,20.2968692779541,40.55634307861328
constitution,22.99195098876953,15.399214744567871
leaves,-38.70191192626953,-39.23390197753906
often,-24.76222801208496,0.10703200101852417
operates,12.392821311950684,19.370349884033203
shadows,-38.9727668762207,-34.31098556518555
numxnum,67.90555572509766,-3.9537341594696045
a,-9.871370315551758,0.8336750268936157
fountain,-45.6641731262207,-40.49113464355469
recent,52.56582260131836,-21.385072708129883
numbers,22.474103927612305,-1.8441444635391235
showing,10.336893081665039,43.61442565917969
levels,21.60234260559082,0.11771763861179352
flint,-6.314825057983398,-37.95134735107422
schools,31.12862777709961,-25.28407096862793
continue,-13.08894157409668,37.766876220703125
hit,-18.51015853881836,-33.73403549194336
impact,19.528467178344727,3.674116611480713
thirty,6.554394245147705,-62.4013671875
months,17.20003318786621,-59.663414001464844
appointed,-33.21913528442383,22.113250732421875
emergency,-2.3128089904785156,-46.69688415527344
manager,10.955534934997559,-54.501075744628906
decision,8.068008422851562,63.54702377319336
begin,-16.1157283782959,13.760946273803711
using,33.468055725097656,49.17253875732422
river,-18.078937530517578,-50.23139953613281
municipal,-3.7060277462005615,-52.644989013671875
city,24.48842430114746,-41.21533203125
nearly,5.3654279708862305,-59.7122802734375
people,-15.055994033813477,-1.7762532234191895
safe,-43.22172164916992,-13.590911865234375
drink,-26.766338348388672,-60.79313659667969
unless,-25.70684242248535,7.151599407196045
passes,-37.799896240234375,-19.91412925720215
filter,66.33502197265625,-5.761965274810791
intense,-18.86374282836914,31.002117156982422
study,38.092811584472656,36.04493713378906
local,30.316078186035156,-21.553062438964844
well,-19.666540145874023,-6.928624153137207
experts,39.023983001708984,30.837970733642578
variety,10.27951431274414,49.38663101196289
