X1,x,y,binary,group
1004,-15.463618278503418,27.374982833862305,1,ISIS
1014,-25.174287796020508,10.062261581420898,1,ISIS
1034,-9.581954002380371,49.13142776489258,1,ISIS
1000,-17.46286392211914,33.41698455810547,1,ISIS
992,-8.979872703552246,43.27500915527344,1,ISIS
996,-13.725244522094727,22.80958366394043,1,ISIS
1017,-10.23000717163086,43.45056915283203,1,ISIS
1044,-9.114472389221191,47.4134407043457,1,ISIS
1029,-7.948453903198242,48.110042572021484,1,ISIS
1453,-3.6555676460266113,9.489063262939453,0,JohnPiper
1582,23.45224380493164,-0.7667965888977051,0,JohnPiper
1058,48.15685272216797,-21.20577621459961,0,JohnPiper
1057,48.228126525878906,-21.02528953552246,0,JohnPiper
1332,-1.2978076934814453,-34.547367095947266,0,JohnPiper
1081,28.94585609436035,20.744365692138672,0,JohnPiper
1403,31.594486236572266,-7.919017314910889,0,JohnPiper
1529,20.2424259185791,7.562885284423828,0,JohnPiper
1282,36.153377532958984,29.138290405273438,0,JohnPiper
1182,27.344863891601563,-1.7360892295837402,0,JohnPiper
1596,-11.728402137756348,6.762906551361084,0,JohnPiper
1075,37.21027374267578,6.80380392074585,0,JohnPiper
1320,11.039219856262207,-3.02335524559021,0,JohnPiper
1230,1.1119272708892822,-8.524863243103027,0,JohnPiper
1417,-5.154108047485352,-10.978083610534668,0,JohnPiper
1369,39.6193733215332,-23.575054168701172,0,JohnPiper
1166,26.648427963256836,2.076026439666748,0,JohnPiper
1219,30.86055564880371,29.83036231994629,0,JohnPiper
1214,-35.763275146484375,-7.648695468902588,0,JohnPiper
1627,36.428436279296875,30.083703994750977,0,JohnPiper
1296,21.34797477722168,-17.878536224365234,0,JohnPiper
1225,29.273609161376953,-9.341090202331543,0,JohnPiper
1476,24.047317504882813,5.157189846038818,0,JohnPiper
1615,8.78354549407959,-3.7781972885131836,0,JohnPiper
1299,-2.583651542663574,-14.407248497009277,0,JohnPiper
1151,31.269412994384766,6.351635456085205,0,JohnPiper
1339,38.38064193725586,16.436466217041016,0,JohnPiper
1149,19.539005279541016,-2.9120583534240723,0,JohnPiper
1152,31.06703758239746,6.002702713012695,0,JohnPiper
1292,21.221189498901367,-4.957380294799805,0,JohnPiper
1566,16.158666610717773,24.50341796875,0,JohnPiper
1104,35.98558044433594,9.81462287902832,0,JohnPiper
1326,-19.716203689575195,2.9239392280578613,0,JohnPiper
1252,21.659151077270508,17.638046264648437,0,JohnPiper
1441,38.92106628417969,-0.5372287631034851,0,JohnPiper
1589,-23.52748680114746,-21.299358367919922,0,JohnPiper
1226,-4.958800315856934,40.6351432800293,0,JohnPiper
1241,7.572494029998779,-16.92056655883789,0,JohnPiper
1516,4.858857154846191,-14.805644989013672,0,JohnPiper
1276,22.233121871948242,12.217684745788574,0,JohnPiper
1284,16.548410415649414,-32.2212028503418,0,JohnPiper
1329,21.749807357788086,11.760293006896973,0,JohnPiper
1383,-17.354740142822266,10.86816692352295,0,JohnPiper
1251,0.6743823289871216,-5.778421878814697,0,JohnPiper
1578,18.83541488647461,-27.79909896850586,0,JohnPiper
1289,19.301860809326172,-7.915172576904297,0,JohnPiper
1095,16.156288146972656,13.410650253295898,0,JohnPiper
1257,25.002134323120117,-2.391835927963257,0,JohnPiper
1094,-3.3583121299743652,-12.370975494384766,0,JohnPiper
1538,13.733708381652832,2.034996747970581,0,JohnPiper
1346,26.00166893005371,5.147036075592041,0,JohnPiper
1218,-2.5187525749206543,-2.1019444465637207,0,JohnPiper
1544,40.66597366333008,13.444937705993652,0,JohnPiper
1221,28.550678253173828,4.9695000648498535,0,JohnPiper
1521,4.947818279266357,1.306932806968689,0,JohnPiper
